id;Nome;Partido;Estado;Legislatura
141533;RODRIGO ROLLEMBERG;PSB;DF;53
141534;ROGERIO LISBOA;DEM;RJ;53
141535;ROGÉRIO MARINHO;PSDB;RN;53
160426;ROGÉRIO ROSSO;PMDB;DF;53
73651;ROGERIO SILVA;PP**;MT;53
74591;ROMEU QUEIROZ;PTB;MG;53
141536;RÔMULO GOUVEIA;PSDB;PB;53
74813;RONALDO CAIADO;DEM;GO;53
74042;RONALDO CUNHA LIMA;PSDB;PB;53
151214;RONALDO LEITE;PHS;AM;53
73507;ROSE DE FREITAS;PMDB;ES;53
74371;RUBENS OTONI;PT;GO;53
74341;SÁ;PR;RR;53
